time,orien,w_des,q_x_des,q_y_des,q_z_des,w_actual,q_x_actual,q_y_actual,q_z_actual
0.011,0.0,0.0,1.0,0.0,9.81632866549397e-05,-1.0197874296765957e-05,0.9999999951299862,-1.6018707122184242e-09
0.0202,0.0,0.0,1.0,-6.3901e-07,7.886945386330902e-05,-8.913226183163776e-06,0.9999999968500818,-3.768637798694218e-09
0.0302,0.0,0.0,1.0,-5.08136e-06,-0.0004270139552204385,-9.65086678040059e-05,0.9999999041724671,-4.645788200007169e-07
0.0403,0.0,0.0,1.0,-1.70459e-05,-0.0013052406959560604,-0.00031318848166537577,0.9999990991087764,-6.429314001130975e-06
0.0504,0.0,0.0,1.0,-4.01594e-05,-0.002155065220889635,-0.0005424538426166974,0.9999975303737827,-2.615450046131643e-05
0.0602,0.0,0.0,1.0,-7.79567e-05,-0.0029664286363705536,-0.000780106697172687,0.9999952937993052,-6.413990761373896e-05
0.0702,0.0,0.0,1.0,-0.00013388,-0.0037570719073994154,-0.0010149286614550721,0.9999924200419876,-0.00011911785585997034
0.0803,0.0,0.0,1.0,-0.000211282,-0.004534919659780136,-0.0012466322855443643,0.9999889214744773,-0.0001932354415281309
0.0915,0.0,0.0,1.0,-0.000313419,-0.005289017149163045,-0.001475709511296297,0.9999848830815473,-0.0002866834810437312
0.1002,0.0,0.0,1.0,-0.000443461,-0.006011486195928342,-0.0017034757499269082,0.9999803999361733,-0.0003999344651832186
0.1119,0.0,0.0,1.0,-0.000604484,-0.0066950614425408655,-0.0019338443871046225,0.999975575218298,-0.0005341956578730063
0.1205,0.0,0.0,1.0,-0.000799471,-0.007333137293584206,-0.002170247646941045,0.9999705185520396,-0.0006907599796097913
0.1302,0.0,0.0,0.999999,-0.00103132,-0.007919735761950703,-0.002407004999455352,0.9999653643712365,-0.0008684297863069808
0.1402,0.0,0.0,0.999999,-0.00130282,-0.0084478166825909,-0.002646158538666603,0.9999602454395385,-0.001067604226056089
0.1504,0.0,0.0,0.999999,-0.0016167,-0.008911218719408554,-0.0028916630335112524,0.9999552815751249,-0.0012896960293962995
0.1602,0.0,0.0,0.999998,-0.00197557,-0.009304437432371622,-0.003155297995665729,0.9999505492614399,-0.0015396656683277416
0.1704,0.0,0.0,0.999997,-0.00238196,-0.009621528363872613,-0.003424292391481933,0.9999462023665128,-0.00181460363441769
0.1804,0.0,0.0,0.999996,-0.00283831,-0.009854262695332981,-0.003692094536572178,0.9999423958532139,-0.0021135089304052746
0.191,0.0,0.0,0.999994,-0.00334696,-0.009993695397697023,-0.00395804401645462,0.9999392575621083,-0.0024374425124232433
0.2024,0.0,0.0,0.999992,-0.00391018,-0.010031057550670856,-0.004222195272878827,0.999936886948529,-0.00278802280790874
0.2116,0.0,0.0,0.99999,-0.00453012,-0.009958676496315738,-0.004466791830025403,0.9999354441018832,-0.00315913943324251
0.2265,0.0,0.0,0.999986,-0.00520888,-0.009760764198882594,-0.004693600583282237,0.9999350340101731,-0.0035532175407919538
0.2357,0.0,0.0,0.999982,-0.00594841,-0.009512315241944604,-0.004917097822838614,0.9999347521841767,-0.0039786156019091
0.2407,0.0,0.0,0.999977,-0.00675063,-0.009213071974037057,-0.005087117828813512,0.9999349313568071,-0.004401543985291173
0.2504,0.0,0.0,0.999971,-0.00761734,-0.008746627947264966,-0.005213729964067628,0.9999365066140286,-0.004826619929787674
0.2602,0.0,0.0,0.999963,-0.00855024,-0.008193174726064244,-0.005340017357102022,0.999938204979038,-0.0052860501164371815
0.2702,0.0,0.0,0.999954,-0.00955096,-0.007641473641114205,-0.005463661728634615,0.9999391579437069,-0.005782446881512077
0.2802,0.0,0.0,0.999944,-0.010621,-0.007073731404653627,-0.005590356733128067,0.9999393608905738,-0.006323351750612724
0.2903,0.0,0.0,0.999931,-0.0117619,-0.006472024540231653,-0.005725715609335278,0.9999387444275253,-0.006916391531419001
0.3002,0.0,0.0,0.999916,-0.0129749,-0.005835976065715597,-0.0058685319700379985,0.9999371186285768,-0.007567067110608407
0.3102,0.0,0.0,0.999898,-0.0142612,-0.005172041144209272,-0.006017163211130614,0.9999342283120947,-0.008281472525396193
0.3202,0.0,0.0,0.999878,-0.0156221,-0.004492174764611159,-0.006168806975650421,0.9999297956038264,-0.009064769719701809
0.3303,0.0,0.0,0.999854,-0.0170587,-0.0038095256140541624,-0.006319604741657324,0.9999235529487192,-0.009921611205600719
0.3402,0.0,0.0,0.999828,-0.0185718,-0.0031314677389000715,-0.006465345188304191,0.9999152571758361,-0.01085687286366864
0.3503,0.0,0.0,0.999797,-0.0201625,-0.0024589226125578336,-0.0066041788788205845,0.9999046367642981,-0.011876695591747222
0.3602,0.0,0.0,0.999762,-0.0218314,-0.0017922086225137706,-0.006736195570966544,0.9998913928493153,-0.012985151648683278
0.3702,0.0,0.0,0.999722,-0.0235793,-0.0011316512381978456,-0.006860610642706604,0.9998752469518702,-0.01418245112879393
0.3802,0.0,0.0,0.999677,-0.0254068,-0.0004776081333262042,-0.006978579208618298,0.9998558646816401,-0.015470009192944155
0.3902,0.0,0.0,0.999627,-0.0273143,0.00016966679426790452,-0.007091366612068976,0.9998328773439398,-0.016849365415068117
0.4002,0.0,0.0,0.999571,-0.0293025,0.0008098750511542497,-0.0072000708980981066,0.9998058855947463,-0.018321959817907
0.4107,0.0,0.0,0.999508,-0.0313715,0.0014427804862242998,-0.007305610596672442,0.9997744528501351,-0.01988944108041695
0.4202,0.0,0.0,0.999438,-0.0335215,0.00206811136251471,-0.007408591350117401,0.9997381193670491,-0.02155292031338512
