time,torque (Nm),T_shoulder,T_upper_arm,T_forearm,T_wrist_1,T_wrist_2,T_wrist_3
0.0103,-0.14556226833965935,-50.213181772057155,-18.898432052119155,-0.24740686926679345,-0.35600383239963085,0.8661314702128535
0.0202,-0.24416452788908138,-70.66835827371774,-26.83638911443744,-0.31401210257332246,-0.24702164058866494,0.3598177993799669
0.0302,-0.08548994443675095,-71.80863744368855,-27.532635574247898,-0.6764382867026648,-0.10462091544254992,0.1915644739444895
0.0402,0.1122253420633692,-63.12304037551972,-24.597533246839415,-0.4560770754198802,0.03777637083943741,0.1069520177064247
0.0502,0.25833765949195087,-49.39814475773138,-19.716169842210093,0.026497525262440424,0.14090374527238136,0.05908330540990547
0.0602,0.325639845092363,-36.105473242256494,-14.847259198271955,0.15999306796360901,0.18919992190608603,0.033881701878293646
0.0701,0.31459955210025115,-24.698258412885504,-10.52646707673004,0.11155225284570358,0.18933813515448028,0.020087068802026264
0.0802,0.23274258697667483,-19.157434225675075,-8.239592606854062,0.05351630614864933,0.1465987791480987,0.014332347195478934
0.0902,0.12785376712314422,-18.355783134351107,-7.699303507810849,0.017255129061438113,0.08671929752320784,0.013210928832596058
0.1002,0.020567816448849308,-21.254075849426258,-8.580605643704217,-0.01111928419760666,0.02427108637164066,0.015161161875879292
0.1102,-0.07969079995582296,-26.791224726648988,-10.517520699114382,-0.03729052426557944,-0.03453510040825547,0.01928017534521298
0.121,-0.1574372670902997,-34.187612756617035,-13.209510670716073,-0.058947908933861815,-0.08201055274654268,0.024988861817772934
0.1332,-0.19535634909442834,-41.72830589869358,-16.020194336881765,-0.07159695104404018,-0.10649446238812477,0.031038764332045332
0.1411,-0.1922531647920449,-48.29144990337678,-18.515892656369505,-0.0737131848979069,-0.10733999556767682,0.03630682842045685
0.1503,-0.13874692508448505,-51.21006995920928,-19.703329546315604,-0.06101832054897516,-0.07897721937927749,0.03848304914949496
0.1603,-0.05857231195708357,-50.44445988070574,-19.527667466176837,-0.039148076471560156,-0.03313974371873574,0.03740365212714325
0.1702,0.017417666347810057,-46.65812202097334,-18.211508522876567,-0.01732029632385279,0.011515579564466805,0.0338148138117399
0.1803,0.07614881072073398,-41.25763039241893,-16.267767636859904,-0.00048801511757967653,0.047115788494887845,0.029143575274996336
0.1902,0.10475349148103441,-35.88361208815921,-14.309000573927749,0.007652671201494821,0.06551852304741113,0.024752673883185472
0.2002,0.10810408184273479,-31.376685071937338,-12.636221112061456,0.00879885664236113,0.06837072493158836,0.021275797075100078
0.2105,0.08744333296599471,-28.975655083547608,-11.712902309576801,0.0038368146010607784,0.05677079705495114,0.01945295278632031
0.2202,0.05039575783678374,-28.603191029244098,-11.528000697179431,-0.0054114811841510235,0.03577099850941279,0.019148761836043304
0.2302,0.015015418503905531,-29.994679020275047,-12.000298100077831,-0.01405395502174267,0.01468728494167415,0.020119400697440226
0.2403,-0.017704598435247743,-32.44552098977283,-12.871770250388275,-0.022173144134773004,-0.005108935059879194,0.021887885194271095
0.2502,-0.03827123091831841,-35.07715538226867,-13.828695303103103,-0.027564434115762815,-0.017946113980463974,0.023846763834729612
0.2603,-0.045273797691354645,-37.330232045993796,-14.652892534602836,-0.029528740044131974,-0.023093535391708997,0.025570929771518758
0.2701,-0.0409688560848378,-38.86287385979329,-15.222439576024028,-0.028669132275571663,-0.02172723157193568,0.026793676069687855
0.28,-0.030220436134062778,-39.665795288909386,-15.533043648287276,-0.026246463149225185,-0.01627198024368859,0.027479011986333846
0.2901,-0.016240564231556398,-39.725890891326344,-15.57122383189072,-0.022895204961842497,-0.008673486612058134,0.027603639262600232
0.3004,-0.002363104634857782,-39.178568732555796,-15.387610042230671,-0.01953010656113774,-0.0010031072064800028,0.02727349387482303
0.3102,0.008465337145612484,-38.286286126412456,-15.075869015593721,-0.01694566304582157,0.005030981190591977,0.026691714237457864
0.3202,0.015212486860344043,-37.336019002709634,-14.734881482496014,-0.015301557312893399,0.00865554127512258,0.026078685479520636
0.33,0.018073761363836205,-36.46934767748756,-14.42322226739442,-0.014728108062988854,0.010002469232491151,0.025553974329129425
0.3402,0.017386064237687293,-35.77945210363933,-14.168438201449673,-0.015017207512181052,0.009298142615916216,0.02518827327102091
0.3503,0.014009698165866169,-35.427550657204435,-14.033186285762824,-0.01597872415285284,0.006932512037880922,0.025101482686447296
0.3602,0.009133764509632325,-35.389843078425166,-14.013378401275872,-0.0174121817900883,0.003652585118273599,0.025283819852165768
0.3702,0.0030283922788549855,-35.59654828324184,-14.08049852060889,-0.01917859302049041,-0.000457431288453769,0.025690325195035557
0.3802,-0.0007804154814943232,-35.96391520255237,-14.207690543176831,-0.020419344518590732,-0.003296401539892635,0.0262643771900698
0.3914,-0.0030741320566178842,-36.47253967708021,-14.389940170464627,-0.021338951508995008,-0.0055272349784338815,0.026985069825260388
0.4006,-0.0028986139345077433,-37.00560503777922,-14.58384435068972,-0.02170740603332666,-0.006488331419912008,0.027791052782616954
0.4102,0.0009274849387832518,-37.4247070153972,-14.744907239536957,-0.021339066819592523,-0.005703720644019583,0.028612676130861936
0.4202,0.003371616912378972,-37.541666391962984,-14.786531754239618,-0.021395829513662257,-0.004902885172073379,0.029271212490499576
0.4301,0.005641793094304903,-37.46563108754599,-14.757001072500127,-0.021546550359311523,-0.004176328498762594,0.029823903429577636
0.44,0.007465056637029788,-37.260721975697166,-14.680489009322661,-0.021867889487898973,-0.003651485529672094,0.030322199862316768
0.4502,0.008621743970242512,-37.00474183523568,-14.585517916393725,-0.022422922517967736,-0.00349973759324973,0.030829961357633162
